"序号","指标编号","指标名称","所属域","计算方式","有脚本","正向数据源","反向数据源","录入方式","新系统落点","复用度","域工作量_人天","备注"
"46","quality_409","进行下腔静脉滤器置入的患者总数","DVT预防","cal_custom_js","是","originalAdviceList","无","-","新建 DvtProphylaxisService（药物/机械/滤器/诊断/死亡）","无","",""
"47","quality_410","深静脉血栓相关死亡人数","DVT预防","cal_custom_js","是","patientDiagnosisList,recordPatient","无","-","新建 DvtProphylaxisService（药物/机械/滤器/诊断/死亡）","无","",""
"48","quality_411","进行深静脉血栓预防并诊断深静脉血栓的患者数","DVT预防","cal_custom_js","否-空壳","无","无","-","新建 DvtProphylaxisService（药物/机械/滤器/诊断/死亡）","无","","老系统未实现(无脚本) 无对照基准"
"49","quality_412","进行深静脉血栓预防并死亡的患者总数","DVT预防","cal_custom_js","是","useDvtAdviceList,originalAdviceList,recordPatient","无","-","新建 DvtProphylaxisService（药物/机械/滤器/诊断/死亡）","无","",""
"50","quality_413","进行深静脉血栓预防、诊断深静脉血栓并死亡的患者总数","DVT预防","cal_custom_js","是","patientDiagnosisList,recordPatient,useDvtAdviceList,originalAdviceList","无","-","新建 DvtProphylaxisService（药物/机械/滤器/诊断/死亡）","无","",""
"51","quality_414","收治的入ICU前发生感染性休克的患者数","脓毒症_感染性休克","cal_custom_js","是","recordPatient","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"52","quality_415","1h内完成乳酸测定的患者数","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"53","quality_416","1h内留取血培养的患者数","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"54","quality_417","1h内使用抗菌药物的患者数","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"55","quality_418","完成1h集束化治疗的患者数","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"56","quality_419","完成6h集束化治疗的患者数","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"57","quality_420","收治的ARDS患者数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"58","quality_421","采用保护性肺通气的患者数","ARDS专项","cal_custom_js","否-空壳","无","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","","老系统未实现(无脚本) 无对照基准"
"59","quality_422","采用俯卧位通气的患者数","ARDS专项","cal_custom_js","是","originalAdviceList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"60","quality_423","完成意识评估的ABI患者数","评估依从","cal_custom_js","是","dvtObserveList,recordPatientList","observeList","-","新建 AssessmentService（镇静/镇痛/意识/EN 评估）","低","",""
"61","quality_424","同期ABI患者总数（转出+出院的患者中）","评估依从","cal_custom_js","是","recordPatientList","无","-","新建 AssessmentService（镇静/镇痛/意识/EN 评估）","低","",""
"62","quality_425","导尿管相关泌尿系感染发生例数","导管_管路_院感","cal_custom_js","否-空壳","无","无","-","新建 DeviceInfectionService（管路、导管日、VAP/CRBSI/CAUTI）","无","","老系统未实现(无脚本) 无对照基准"
"63","quality_426","导尿管留置总天数","导管_管路_院感","cal_custom_js","否-空壳","无","无","-","新建 DeviceInfectionService（管路、导管日、VAP/CRBSI/CAUTI）","无","","老系统未实现(无脚本) 无对照基准"
"64","quality_427","治疗性抗菌药物使用前送检病原学标本例数","抗菌药送检","cal_custom_js","否-空壳","无","无","-","AbxDrugRecognizer 复用 + 新建送检时序判定","中","","老系统未实现(无脚本) 无对照基准"
"65","quality_428","使用治疗性抗菌药物例数","抗菌药送检","cal_custom_js","否-空壳","无","无","-","AbxDrugRecognizer 复用 + 新建送检时序判定","中","","老系统未实现(无脚本) 无对照基准"
"66","quality_429","治疗性抗菌药物使用前送检PCT例数","抗菌药送检","cal_custom_js","否-空壳","无","无","-","AbxDrugRecognizer 复用 + 新建送检时序判定","中","","老系统未实现(无脚本) 无对照基准"
"67","quality_430","使用治疗性抗菌药物例数","抗菌药送检","cal_custom_js","否-空壳","无","无","-","AbxDrugRecognizer 复用 + 新建送检时序判定","中","","与quality_428重复"
"68","quality_431","治疗性抗菌药物使用前送检G/GM实验例数","抗菌药送检","cal_custom_js","否-空壳","无","无","-","AbxDrugRecognizer 复用 + 新建送检时序判定","中","","名称应为G试验/GM试验"
"69","quality_432","治疗性抗菌药物使用前送检白介素例数","抗菌药送检","cal_custom_js","否-空壳","无","无","-","AbxDrugRecognizer 复用 + 新建送检时序判定","中","","老系统未实现(无脚本) 无对照基准"
"70","quality_433","收治的≤18岁的感染性休克患者数（包括ICU内发生）","脓毒症_感染性休克","cal_custom_js","是","patientDiagnosisList,recordPatient","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"71","quality_434","收治的18-65岁的感染性休克患者数（包括ICU内发生）","脓毒症_感染性休克","cal_custom_js","是","patientDiagnosisList,recordPatient","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"72","quality_435","收治的≥65岁的感染性休克患者数（包括ICU内发生）","脓毒症_感染性休克","cal_custom_js","是","patientDiagnosisList,recordPatient","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"73","quality_436","收治的血流感染（CRBSI）感染性休克患者数（包括ICU内发生）","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"74","quality_437","收治的血流感染（非CRBSI）感染性休克患者数（包括ICU内发生）","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"75","quality_438","收治的血流感染感染性休克患者数（包括ICU内发生）","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"76","quality_439","收治的腹腔感染感染性休克患者数（包括ICU内发生）","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"77","quality_440","收治的泌尿系感染感染性休克患者数（包括ICU内发生）","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"78","quality_441","收治的中枢神经系统感染感染性休克患者数（包括ICU内发生）","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"79","quality_442","收治的肺部感染感染性休克患者数（包括ICU内发生）","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"80","quality_443","收治的胆道感染感染性休克患者数（包括ICU内发生）","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"81","quality_444","收治的胃肠道感染感染性休克患者数（包括ICU内发生）","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"82","quality_445","收治的骨髓感染感染性休克患者数（包括ICU内发生）","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"83","quality_446","收治的皮肤软组织感染感染性休克患者数（包括ICU内发生）","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"84","quality_447","收治的其他部位感染感染性休克患者数（包括ICU内发生）","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"85","quality_448","收治的感染性休克患者死亡数（包括ICU内发生）","脓毒症_感染性休克","cal_custom_js","是","patientDiagnosisList,recordPatient","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"86","quality_449","收治的入ICU发生感染性休克的患者数","脓毒症_感染性休克","cal_custom_js","是","patientDiagnosisList","无","-","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"87","quality_450","非插管的男性ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"88","quality_451","插管的男性ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"89","quality_452","年龄≤18岁男性ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"90","quality_453","年龄18-65岁男性ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"91","quality_454","年龄＞65岁男性ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"92","quality_455","非插管的女性ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"93","quality_456","插管的女性ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"94","quality_457","年龄≤18岁女性ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"95","quality_458","年龄18-65岁女性ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"96","quality_459","年龄＞65岁女性ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"97","quality_460","轻度ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"98","quality_461","中度ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"99","quality_462","重度ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"100","quality_463","细菌性肺炎ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"101","quality_464","病毒性肺炎ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"102","quality_465","真菌性肺炎ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"103","quality_466","吸入性肺炎ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"104","quality_467","肺挫伤ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"105","quality_468","严重感染（肺外）ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"106","quality_469","严重创伤（肺外）ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"107","quality_470","急性重症胰腺炎ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"108","quality_471","大量输血ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"109","quality_472","体外循环ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"110","quality_473","其他原因ARDS人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"111","quality_474","实施有创机械通气的ARDS患者人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"112","quality_475","实施无创机械通气的ARDS患者人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"113","quality_476","实施高流量(HFNC)的ARDS患者人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"114","quality_477","ARDS平均机械通气支持天数","ARDS专项","cal_custom_js","否-空壳","无","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","","老系统未实现(无脚本) 无对照基准"
"115","quality_478","中重度ARDS患者肌松的使用人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"116","quality_479","中重度ARDS患者总人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"117","quality_480","实施ECMO支持的ARDS患者人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"118","quality_481","ARDS平均ECMO支持天数","ARDS专项","cal_custom_js","否-空壳","无","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","","老系统未实现(无脚本) 无对照基准"
"119","quality_482","ARDS实施俯卧位通气的人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"120","quality_483","轻度ARDS俯卧位人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"121","quality_484","中度ARDS俯卧位人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"122","quality_485","重度ARDS俯卧位人数","ARDS专项","cal_custom_js","是","recordArdsList","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"123","quality_486","ARDS平均俯卧位通气天数","ARDS专项","cal_custom_js","否-空壳","无","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","","老系统未实现(无脚本) 无对照基准"
"124","quality_487","ARDS患者的院内死亡人数","ARDS专项","cal_custom_js","否-空壳","无","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","","老系统未实现(无脚本) 无对照基准"
"125","quality_488","轻度ARDS患者院内死亡人数","ARDS专项","cal_custom_js","否-空壳","无","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","","老系统未实现(无脚本) 无对照基准"
"126","quality_489","中度ARDS患者院内死亡人数","ARDS专项","cal_custom_js","否-空壳","无","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","","老系统未实现(无脚本) 无对照基准"
"127","quality_490","重度ARDS患者院内死亡人数","ARDS专项","cal_custom_js","否-空壳","无","无","-","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","","老系统未实现(无脚本) 无对照基准"
